site_id,building_id,primary_use,square_feet,year_built,floor_count
3,410,Education,64113,1924.0,
3,411,Entertainment/public assembly,6139,,
3,412,Education,110000,,
3,413,Warehouse/storage,14839,2005.0,
3,414,Entertainment/public assembly,36387,,
3,415,Education,41329,,
3,416,Public services,7079,,
3,417,Education,69600,1978.0,
3,418,Entertainment/public assembly,86120,1926.0,
3,419,Education,271300,1940.0,
3,420,Public services,81397,2004.0,
3,421,Entertainment/public assembly,11274,,
3,422,Public services,8726,,
3,423,Entertainment/public assembly,969,,
3,424,Public services,32527,,
3,425,Warehouse/storage,202829,1983.0,
3,426,Education,101400,1930.0,
3,427,Public services,14269,,
3,428,Entertainment/public assembly,1396,,
3,429,Public services,11934,1930.0,
3,430,Public services,23918,,
3,431,Parking,1760,,
3,432,Public services,103200,,
3,433,Entertainment/public assembly,23055,,
3,434,Education,39500,,
3,435,Office,29916,2002.0,
3,436,Lodging/residential,15574,,
3,437,Entertainment/public assembly,11651,,
3,438,Public services,36562,,
3,439,Office,62205,,
3,440,Public services,35033,1962.0,
3,441,Public services,3267,,
3,442,Education,70800,1964.0,
3,443,Education,109000,1940.0,
3,444,Public services,12945,1960.0,
3,445,Education,40950,1910.0,
3,446,Public services,43992,,
3,447,Public services,21472,2011.0,
3,448,Office,328760,1904.0,
3,449,Lodging/residential,18340,1900.0,
3,450,Education,116872,1931.0,
3,451,Entertainment/public assembly,5013,,
3,452,Education,155100,1931.0,
3,453,Public services,24875,1984.0,
3,454,Public services,16576,1932.0,
3,455,Healthcare,29192,2014.0,
3,456,Public services,14125,,
3,457,Education,79700,1932.0,
3,458,Entertainment/public assembly,4589,,
3,459,Entertainment/public assembly,36744,2004.0,
3,460,Public services,17927,,
3,461,Education,69400,1959.0,
3,462,Public services,9226,,
3,463,Public services,25000,,
3,464,Public services,9816,,
3,465,Office,6400,,
3,466,Public services,22500,,
3,467,Public services,47439,,
3,468,Office,40000,,
3,469,Public services,13044,1913.0,
3,470,Public services,24618,,
3,471,Education,170000,1956.0,
3,472,Education,69400,1911.0,
3,473,Public services,46007,1950.0,
3,474,Public services,10151,1966.0,
3,475,Office,474680,1986.0,
3,476,Entertainment/public assembly,1102,,
3,477,Public services,21600,,
3,478,Lodging/residential,31283,1935.0,
3,479,Public services,43955,1978.0,
3,480,Office,30000,,
3,481,Education,104294,1976.0,
3,482,Education,394000,2013.0,
3,483,Education,207000,1935.0,
3,484,Public services,18000,,
3,485,Public services,22000,2007.0,
3,486,Education,86375,1903.0,
3,487,Education,66600,1959.0,
3,488,Education,69600,1908.0,
3,489,Education,85039,1925.0,
3,490,Education,98900,1961.0,
3,491,Education,66600,1970.0,
3,492,Education,193800,,
3,493,Education,283000,2014.0,
3,494,Education,72800,1959.0,
3,495,Education,47500,1968.0,
3,496,Public services,16200,,
3,497,Public services,7732,,
3,498,Entertainment/public assembly,14842,,
3,499,Education,376507,2011.0,
3,500,Education,99975,1968.0,
3,501,Education,66404,,
3,502,Public services,6010,,
3,503,Other,10762,,
3,504,Warehouse/storage,112536,,
3,505,Warehouse/storage,51622,1975.0,
3,506,Other,34400,,
3,507,Education,61151,,
3,508,Other,112283,,
3,509,Other,10578,,
3,510,Public services,4581,,
3,511,Public services,12316,,
3,512,Lodging/residential,5000,2010.0,
3,513,Public services,112283,,
3,514,Public services,12750,,
3,515,Education,63900,1921.0,
3,516,Public services,9000,,
3,517,Lodging/residential,2210,,
3,518,Public services,555243,1941.0,
3,519,Public services,461647,1976.0,
3,520,Office,27600,,
3,521,Public services,12000,,
3,522,Office,8000,,
3,523,Entertainment/public assembly,9726,,
3,524,Public services,134114,,
3,525,Public services,9062,,
3,526,Public services,7636,,
3,527,Public services,9392,,
3,528,Public services,11143,,
3,529,Public services,14519,1908.0,
3,530,Public services,144000,,
3,531,Public services,68203,,
3,532,Entertainment/public assembly,7133,,
3,533,Lodging/residential,11900,,
3,534,Entertainment/public assembly,898,,
3,535,Healthcare,15000,2010.0,
3,536,Entertainment/public assembly,1962,,
3,537,Education,73200,1959.0,
3,538,Religious worship,10000,2010.0,
3,539,Entertainment/public assembly,1473,,
3,540,Education,88300,1909.0,
3,541,Lodging/residential,2582,,
3,542,Education,66900,1969.0,
3,543,Entertainment/public assembly,801,,
3,544,Public services,110800,1972.0,
3,545,Education,21903,1931.0,
3,546,Public services,400000,1971.0,
3,547,Healthcare,23903,,
3,548,Healthcare,9813,2010.0,
3,549,Public services,12754,1968.0,
3,550,Public services,16000,2014.0,
3,551,Office,30525,,
3,552,Public services,20110,1936.0,
3,553,Education,37800,,
3,554,Entertainment/public assembly,26187,,
3,555,Education,22400,,
3,556,Healthcare,450000,2012.0,
3,557,Public services,19000,,
3,558,Office,89315,,
3,559,Education,48994,2015.0,
3,560,Office,340000,2010.0,
3,561,Office,295000,,
3,562,Education,235000,2013.0,
3,563,Office,31346,,
3,564,Public services,89315,,
